rank,GEO_ID_origin,NAME_origin,GEO_ID_dest,NAME_dest,VAL_origin,VAL_dest,distance_miles,distance_used,dist_floored,gravity,gravity_norm
8343,E330000US4599916700,"Charleston-North Charleston, SC CFS Area; South Carolina",E330000US2240600000,"New Orleans-Metairie-Hammond, LA-MS CFS Area (part); Louisiana",208621,841834,610.83,610.83,False,470699.5331947824,0.00015367428478334908
8344,E330000US2240600000,"New Orleans-Metairie-Hammond, LA-MS CFS Area (part); Louisiana",E330000US4599916700,"Charleston-North Charleston, SC CFS Area; South Carolina",841834,208621,610.83,610.83,False,470699.5331947824,0.00015367428478334908
8345,E330000US2626600000,"Grand Rapids-Kentwood-Muskegon, MI CFS Area; Michigan",E330000US2454847900,"Washington-Arlington-Alexandria, DC-VA-MD-WV CFS Area (part); Maryland",731507,227976,595.23,595.23,False,470693.27359181904,0.00015367224105774447
8346,E330000US2454847900,"Washington-Arlington-Alexandria, DC-VA-MD-WV CFS Area (part); Maryland",E330000US2626600000,"Grand Rapids-Kentwood-Muskegon, MI CFS Area; Michigan",227976,731507,595.23,595.23,False,470693.27359181904,0.00015367224105774447
8347,E330000US2299912940,"Baton Rouge, LA CFS Area; Louisiana",E330000US0648800000,"San Jose-San Francisco-Oakland, CA CFS Area; California",619526,2676802,1877.09,1877.09,False,470658.1608205247,0.00015366077693291697
8348,E330000US0648800000,"San Jose-San Francisco-Oakland, CA CFS Area; California",E330000US2299912940,"Baton Rouge, LA CFS Area; Louisiana",2676802,619526,1877.09,1877.09,False,470658.1608205247,0.00015366077693291697
8349,E330000US4948200000,"Salt Lake City-Provo-Orem, UT CFS Area; Utah",E330000US4699999999,"Remainder of South Dakota, South Dakota",946823,322912,806.08,806.08,False,470540.155881202,0.00015362224897557295
8350,E330000US4699999999,"Remainder of South Dakota, South Dakota",E330000US4948200000,"Salt Lake City-Provo-Orem, UT CFS Area; Utah",322912,946823,806.08,806.08,False,470540.155881202,0.00015362224897557295
8351,E330000US3142000000,"Omaha-Council Bluffs-Fremont, NE-IA CFS Area (part); Nebraska",E330000US1825800000,"Fort Wayne-Huntington-Auburn, IN CFS Area; Indiana",265722,595891,580.17,580.17,False,470417.86059695046,0.00015358232024443626
8352,E330000US1825800000,"Fort Wayne-Huntington-Auburn, IN CFS Area; Indiana",E330000US3142000000,"Omaha-Council Bluffs-Fremont, NE-IA CFS Area (part); Nebraska",595891,265722,580.17,580.17,False,470417.86059695046,0.00015358232024443626
8353,E330000US0138000000,"Mobile-Daphne-Fairhope, AL CFS Area; Alabama",E330000US1829400000,"Indianapolis-Carmel-Muncie, IN CFS Area; Indiana",185225,1102121,658.76,658.76,False,470407.71873304393,0.000153579008982194
8354,E330000US1829400000,"Indianapolis-Carmel-Muncie, IN CFS Area; Indiana",E330000US0138000000,"Mobile-Daphne-Fairhope, AL CFS Area; Alabama",1102121,185225,658.76,658.76,False,470407.71873304393,0.000153579008982194
8355,E330000US4242800000,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CFS Area (part); Pennsylvania",E330000US1747600000,"St. Louis-St. Charles-Farmington, MO-IL CFS Area (part); Illinois",1106517,249455,766.24,766.24,False,470132.9218323194,0.00015348928932020232
8356,E330000US1747600000,"St. Louis-St. Charles-Farmington, MO-IL CFS Area (part); Illinois",E330000US4242800000,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CFS Area (part); Pennsylvania",249455,1106517,766.24,766.24,False,470132.9218323194,0.00015348928932020232
8357,E330000US4820400000,"Corpus Christi-Kingsville-Alice, TX CFS Area; Texas",E330000US2947600000,"St. Louis-St. Charles-Farmington, MO-IL CFS Area (part); Missouri",363627,802205,787.87,787.87,False,469929.1219042193,0.00015342274977548818
8358,E330000US2947600000,"St. Louis-St. Charles-Farmington, MO-IL CFS Area (part); Missouri",E330000US4820400000,"Corpus Christi-Kingsville-Alice, TX CFS Area; Texas",802205,363627,787.87,787.87,False,469929.1219042193,0.00015342274977548818
8359,E330000US1825800000,"Fort Wayne-Huntington-Auburn, IN CFS Area; Indiana",E330000US1299945300,"Tampa-St. Petersburg-Clearwater, FL CFS Area; Florida",595891,659780,914.91,914.91,False,469687.73955177347,0.00015334393977794054
8360,E330000US1299945300,"Tampa-St. Petersburg-Clearwater, FL CFS Area; Florida",E330000US1825800000,"Fort Wayne-Huntington-Auburn, IN CFS Area; Indiana",659780,595891,914.91,914.91,False,469687.73955177347,0.00015334393977794054
8361,E330000US3699999999,"Remainder of New York, New York",E330000US2031200000,"Kansas City-Overland Park-Kansas City, MO-KS CFS Area (part); Kansas",892946,464440,939.69,939.69,False,469662.1935625525,0.0001533355991543305
8362,E330000US2031200000,"Kansas City-Overland Park-Kansas City, MO-KS CFS Area (part); Kansas",E330000US3699999999,"Remainder of New York, New York",464440,892946,939.69,939.69,False,469662.1935625525,0.0001533355991543305
8363,E330000US2454812580,"Baltimore-Columbia-Towson, MD CFS Area; Maryland",E330000US2299912940,"Baton Rouge, LA CFS Area; Louisiana",760818,619526,1001.83,1001.83,False,469626.1279089136,0.00015332382391870935
8364,E330000US2299912940,"Baton Rouge, LA CFS Area; Louisiana",E330000US2454812580,"Baltimore-Columbia-Towson, MD CFS Area; Maryland",619526,760818,1001.83,1001.83,False,469626.1279089136,0.00015332382391870935
8365,E330000US2999999999,"Remainder of Missouri, Missouri",E330000US3616000000,"Buffalo-Cheektowaga-Olean, NY CFS Area; New York",805837,413090,842.33,842.33,False,469166.8826875262,0.0001531738829043619
8366,E330000US3616000000,"Buffalo-Cheektowaga-Olean, NY CFS Area; New York",E330000US2999999999,"Remainder of Missouri, Missouri",413090,805837,842.33,842.33,False,469166.8826875262,0.0001531738829043619
8367,E330000US5099999999,"Remainder of Vermont, Vermont",E330000US4299910900,"Allentown-Bethlehem-Easton, PA-NJ CFS Area (part); Pennsylvania",162074,272201,306.81,306.81,False,468666.6448017134,0.00015301055801273384
8368,E330000US4299910900,"Allentown-Bethlehem-Easton, PA-NJ CFS Area (part); Pennsylvania",E330000US5099999999,"Remainder of Vermont, Vermont",272201,162074,306.81,306.81,False,468666.6448017134,0.00015301055801273384
8369,E330000US3799999999,"Remainder of North Carolina, North Carolina",E330000US5350000000,"Seattle-Tacoma, WA CFS Area; Washington",1250149,2123684,2380.59,2380.59,False,468470.7316994621,0.00015294659347285953
8370,E330000US5350000000,"Seattle-Tacoma, WA CFS Area; Washington",E330000US3799999999,"Remainder of North Carolina, North Carolina",2123684,1250149,2380.59,2380.59,False,468470.7316994621,0.00015294659347285953
8371,E330000US1042800000,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CFS Area (part); Delaware",E330000US2737800000,"Minneapolis-St. Paul, MN-WI CFS Area (part); Minnesota",281776,1694483,1009.67,1009.67,False,468362.7108973483,0.00015291132528086693
8372,E330000US2737800000,"Minneapolis-St. Paul, MN-WI CFS Area (part); Minnesota",E330000US1042800000,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CFS Area (part); Delaware",1694483,281776,1009.67,1009.67,False,468362.7108973483,0.00015291132528086693
8373,E330000US4799999999,"Remainder of Tennessee, Tennessee",E330000US2055600000,"Wichita-Winfield, KS CFS Area; Kansas",907962,227296,663.87,663.87,False,468266.8121750816,0.000152880014880624
8374,E330000US2055600000,"Wichita-Winfield, KS CFS Area; Kansas",E330000US4799999999,"Remainder of Tennessee, Tennessee",227296,907962,663.87,663.87,False,468266.8121750816,0.000152880014880624
8375,E330000US0699941740,"San Diego-Chula Vista-Carlsbad, CA CFS Area; California",E330000US2622000000,"Detroit-Warren-Ann Arbor, MI CFS Area; Michigan",786822,2208645,1927.07,1927.07,False,467958.59672729723,0.00015277938424860843
8376,E330000US2622000000,"Detroit-Warren-Ann Arbor, MI CFS Area; Michigan",E330000US0699941740,"San Diego-Chula Vista-Carlsbad, CA CFS Area; California",2208645,786822,1927.07,1927.07,False,467958.59672729723,0.00015277938424860843
8377,E330000US0927825540,"Hartford-East Hartford-Middletown, CT CFS Area; Connecticut",E330000US3953400000,"Toledo-Findlay-Tiffin, OH CFS Area; Ohio",563855,278516,579.52,579.52,False,467606.7029000905,0.00015266449286828097
8378,E330000US3953400000,"Toledo-Findlay-Tiffin, OH CFS Area; Ohio",E330000US0927825540,"Hartford-East Hartford-Middletown, CT CFS Area; Connecticut",278516,563855,579.52,579.52,False,467606.7029000905,0.00015266449286828097
8379,E330000US3646400000,"Rochester-Batavia-Seneca Falls, NY CFS Area; New York",E330000US1817600000,"Chicago-Naperville, IL-IN-WI CFS Area (part); Indiana",356513,354346,519.89,519.89,False,467390.60402246256,0.00015259393778484866
8380,E330000US1817600000,"Chicago-Naperville, IL-IN-WI CFS Area (part); Indiana",E330000US3646400000,"Rochester-Batavia-Seneca Falls, NY CFS Area; New York",354346,356513,519.89,519.89,False,467390.60402246256,0.00015259393778484866
8381,E330000US3599999999,"Remainder of New Mexico, New Mexico",E330000US0599999999,"Remainder of Arkansas, Arkansas",228119,998494,698.4,698.4,False,466980.1896767149,0.00015245993978021347
8382,E330000US0599999999,"Remainder of Arkansas, Arkansas",E330000US3599999999,"Remainder of New Mexico, New Mexico",998494,228119,698.4,698.4,False,466980.1896767149,0.00015245993978021347
8383,E330000US0699999999,"Remainder of California, California",E330000US4299999999,"Remainder of Pennsylvania, Pennsylvania",957503,2254797,2150.44,2150.44,False,466866.736536522,0.00015242289796000677
8384,E330000US4299999999,"Remainder of Pennsylvania, Pennsylvania",E330000US0699999999,"Remainder of California, California",2254797,957503,2150.44,2150.44,False,466866.736536522,0.00015242289796000677
8385,E330000US3616000000,"Buffalo-Cheektowaga-Olean, NY CFS Area; New York",E330000US4731500000,"Knoxville-Morristown-Sevierville, TN CFS Area; Tennessee",413090,346041,553.42,553.42,False,466726.5859596032,0.00015237713957497425
8386,E330000US4731500000,"Knoxville-Morristown-Sevierville, TN CFS Area; Tennessee",E330000US3616000000,"Buffalo-Cheektowaga-Olean, NY CFS Area; New York",346041,413090,553.42,553.42,False,466726.5859596032,0.00015237713957497425
8387,E330000US3646400000,"Rochester-Batavia-Seneca Falls, NY CFS Area; New York",E330000US2947600000,"St. Louis-St. Charles-Farmington, MO-IL CFS Area (part); Missouri",356513,802205,783.32,783.32,False,466103.4363395683,0.00015217368468471758
8388,E330000US2947600000,"St. Louis-St. Charles-Farmington, MO-IL CFS Area (part); Missouri",E330000US3646400000,"Rochester-Batavia-Seneca Falls, NY CFS Area; New York",802205,356513,783.32,783.32,False,466103.4363395683,0.00015217368468471758
8389,E330000US0927825540,"Hartford-East Hartford-Middletown, CT CFS Area; Connecticut",E330000US1299999999,"Remainder of Florida, Florida",563855,867980,1024.81,1024.81,False,466004.8589837466,0.00015214149972549485
8390,E330000US1299999999,"Remainder of Florida, Florida",E330000US0927825540,"Hartford-East Hartford-Middletown, CT CFS Area; Connecticut",867980,563855,1024.81,1024.81,False,466004.8589837466,0.00015214149972549485
8391,E330000US1299999999,"Remainder of Florida, Florida",E330000US5154847900,"Washington-Arlington-Alexandria, DC-VA-MD-WV CFS Area (part); Virginia",867980,260880,697.13,697.13,False,465932.45132739824,0.00015211785902781574
8392,E330000US5154847900,"Washington-Arlington-Alexandria, DC-VA-MD-WV CFS Area (part); Virginia",E330000US1299999999,"Remainder of Florida, Florida",260880,867980,697.13,697.13,False,465932.45132739824,0.00015211785902781574
8393,E330000US1042800000,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CFS Area (part); Delaware",E330000US1154847900,"Washington-Arlington-Alexandria, DC-VA-MD-WV CFS Area (part); District of Columbia",281776,12477,86.87,86.87,False,465880.4988112936,0.00015210089681982783
8394,E330000US1154847900,"Washington-Arlington-Alexandria, DC-VA-MD-WV CFS Area (part); District of Columbia",E330000US1042800000,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CFS Area (part); Delaware",12477,281776,86.87,86.87,False,465880.4988112936,0.00015210089681982783
8395,E330000US5537600000,"Milwaukee-Racine-Waukesha, WI CFS Area; Wisconsin",E330000US1042800000,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CFS Area (part); Delaware",818487,281776,703.64,703.64,False,465816.36901012564,0.00015207995879589373
8396,E330000US1042800000,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CFS Area (part); Delaware",E330000US5537600000,"Milwaukee-Racine-Waukesha, WI CFS Area; Wisconsin",281776,818487,703.64,703.64,False,465816.36901012564,0.00015207995879589373
8397,E330000US2737800000,"Minneapolis-St. Paul, MN-WI CFS Area (part); Minnesota",E330000US5154847900,"Washington-Arlington-Alexandria, DC-VA-MD-WV CFS Area (part); Virginia",1694483,260880,974.4,974.4,False,465589.7935422683,0.00015200598316393363
8398,E330000US5154847900,"Washington-Arlington-Alexandria, DC-VA-MD-WV CFS Area (part); Virginia",E330000US2737800000,"Minneapolis-St. Paul, MN-WI CFS Area (part); Minnesota",260880,1694483,974.4,974.4,False,465589.7935422683,0.00015200598316393363
8399,E330000US4828800000,"Houston-The Woodlands, TX CFS Area; Texas",E330000US2399999999,"Remainder of Maine, Maine",4234584,327467,1726.2,1726.2,False,465367.52012281877,0.00015193341212688713
8400,E330000US2399999999,"Remainder of Maine, Maine",E330000US4828800000,"Houston-The Woodlands, TX CFS Area; Texas",327467,4234584,1726.2,1726.2,False,465367.52012281877,0.00015193341212688713
8401,E330000US5350000000,"Seattle-Tacoma, WA CFS Area; Washington",E330000US4243000000,"Pittsburgh-New Castle-Weirton, PA-OH-WV CFS Area (part); Pennsylvania",2123684,979372,2114.82,2114.82,False,465040.4826951947,0.00015182663622298248
8402,E330000US4243000000,"Pittsburgh-New Castle-Weirton, PA-OH-WV CFS Area (part); Pennsylvania",E330000US5350000000,"Seattle-Tacoma, WA CFS Area; Washington",979372,2123684,2114.82,2114.82,False,465040.4826951947,0.00015182663622298248
8403,E330000US0626000000,"Fresno-Madera-Hanford, CA CFS Area; California",E330000US0821600000,"Denver-Aurora, CO CFS Area; Colorado",289171,1026516,799.03,799.03,False,464937.1926556203,0.00015179291259868652
8404,E330000US0821600000,"Denver-Aurora, CO CFS Area; Colorado",E330000US0626000000,"Fresno-Madera-Hanford, CA CFS Area; California",1026516,289171,799.03,799.03,False,464937.1926556203,0.00015179291259868652
8405,E330000US2232400000,"Lake Charles-Jennings, LA CFS Area; Louisiana",E330000US2737800000,"Minneapolis-St. Paul, MN-WI CFS Area (part); Minnesota",322904,1694483,1084.83,1084.83,False,464929.67593534366,0.0001517904584312606
8406,E330000US2737800000,"Minneapolis-St. Paul, MN-WI CFS Area (part); Minnesota",E330000US2232400000,"Lake Charles-Jennings, LA CFS Area; Louisiana",1694483,322904,1084.83,1084.83,False,464929.67593534366,0.0001517904584312606
8407,E330000US2299912940,"Baton Rouge, LA CFS Area; Louisiana",E330000US3699999999,"Remainder of New York, New York",619526,892946,1091.77,1091.77,False,464111.59714840545,0.00015152336025055642
8408,E330000US3699999999,"Remainder of New York, New York",E330000US2299912940,"Baton Rouge, LA CFS Area; Louisiana",892946,619526,1091.77,1091.77,False,464111.59714840545,0.00015152336025055642
8409,E330000US0648800000,"San Jose-San Francisco-Oakland, CA CFS Area; California",E330000US4242800000,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CFS Area (part); Pennsylvania",2676802,1106517,2527.55,2527.55,False,463633.5203527013,0.0001513672708317764
8410,E330000US4242800000,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CFS Area (part); Pennsylvania",E330000US0648800000,"San Jose-San Francisco-Oakland, CA CFS Area; California",1106517,2676802,2527.55,2527.55,False,463633.5203527013,0.0001513672708317764
8411,E330000US4899999999,"Remainder of Texas, Texas",E330000US3953400000,"Toledo-Findlay-Tiffin, OH CFS Area; Ohio",2166305,278516,1140.84,1140.84,False,463575.2823180866,0.0001513482564369018
8412,E330000US3953400000,"Toledo-Findlay-Tiffin, OH CFS Area; Ohio",E330000US4899999999,"Remainder of Texas, Texas",278516,2166305,1140.84,1140.84,False,463575.2823180866,0.0001513482564369018
8413,E330000US4899999999,"Remainder of Texas, Texas",E330000US4999999999,"Remainder of Utah, Utah",2166305,202925,974.4,974.4,False,462999.5897068821,0.000151160295996474
8414,E330000US4999999999,"Remainder of Utah, Utah",E330000US4899999999,"Remainder of Texas, Texas",202925,2166305,974.4,974.4,False,462999.5897068821,0.000151160295996474
8415,E330000US4820400000,"Corpus Christi-Kingsville-Alice, TX CFS Area; Texas",E330000US4799999999,"Remainder of Tennessee, Tennessee",363627,907962,844.91,844.91,False,462490.58400707785,0.00015099410846227011
8416,E330000US4799999999,"Remainder of Tennessee, Tennessee",E330000US4820400000,"Corpus Christi-Kingsville-Alice, TX CFS Area; Texas",907962,363627,844.91,844.91,False,462490.58400707785,0.00015099410846227011
8417,E330000US4243000000,"Pittsburgh-New Castle-Weirton, PA-OH-WV CFS Area (part); Pennsylvania",E330000US4053800000,"Tulsa-Muskogee-Bartlesville, OK CFS Area; Oklahoma",979372,371567,887.15,887.15,False,462371.12616787956,0.00015095510614118545
8418,E330000US4053800000,"Tulsa-Muskogee-Bartlesville, OK CFS Area; Oklahoma",E330000US4243000000,"Pittsburgh-New Castle-Weirton, PA-OH-WV CFS Area (part); Pennsylvania",371567,979372,887.15,887.15,False,462371.12616787956,0.00015095510614118545
8419,E330000US4899912420,"Austin-Round Rock-Georgetown, TX CFS Area; Texas",E330000US3717200000,"Charlotte-Concord, NC-SC CFS Area (part); North Carolina",670563,729927,1029.29,1029.29,False,462001.63030489406,0.00015083446779392979
8420,E330000US3717200000,"Charlotte-Concord, NC-SC CFS Area (part); North Carolina",E330000US4899912420,"Austin-Round Rock-Georgetown, TX CFS Area; Texas",729927,670563,1029.29,1029.29,False,462001.63030489406,0.00015083446779392979
8421,E330000US1999999999,"Remainder of Iowa, Iowa",E330000US1299945300,"Tampa-St. Petersburg-Clearwater, FL CFS Area; Florida",779687,659780,1055.28,1055.28,False,461938.35669719556,0.0001508138093124086
8422,E330000US1299945300,"Tampa-St. Petersburg-Clearwater, FL CFS Area; Florida",E330000US1999999999,"Remainder of Iowa, Iowa",659780,779687,1055.28,1055.28,False,461938.35669719556,0.0001508138093124086
8423,E330000US2055600000,"Wichita-Winfield, KS CFS Area; Kansas",E330000US2299912940,"Baton Rouge, LA CFS Area; Louisiana",227296,619526,552.23,552.23,False,461754.71445101546,0.00015075385113889488
8424,E330000US2299912940,"Baton Rouge, LA CFS Area; Louisiana",E330000US2055600000,"Wichita-Winfield, KS CFS Area; Kansas",619526,227296,552.23,552.23,False,461754.71445101546,0.00015075385113889488
8425,E330000US1299945300,"Tampa-St. Petersburg-Clearwater, FL CFS Area; Florida",E330000US2626600000,"Grand Rapids-Kentwood-Muskegon, MI CFS Area; Michigan",659780,731507,1022.65,1022.65,False,461491.37376992265,0.0001506678718689904
8426,E330000US2626600000,"Grand Rapids-Kentwood-Muskegon, MI CFS Area; Michigan",E330000US1299945300,"Tampa-St. Petersburg-Clearwater, FL CFS Area; Florida",731507,659780,1022.65,1022.65,False,461491.37376992265,0.0001506678718689904
8427,E330000US3899999999,"Remainder of North Dakota, North Dakota",E330000US0648800000,"San Jose-San Francisco-Oakland, CA CFS Area; California",350729,2676802,1426.44,1426.44,False,461403.52444559033,0.0001506391895524704
8428,E330000US0648800000,"San Jose-San Francisco-Oakland, CA CFS Area; California",E330000US3899999999,"Remainder of North Dakota, North Dakota",2676802,350729,1426.44,1426.44,False,461403.52444559033,0.0001506391895524704
8429,E330000US1299999999,"Remainder of Florida, Florida",E330000US0940800000,"New York-Newark, NY-NJ-CT-PA CFS Area (part); Connecticut",867980,538785,1007.18,1007.18,False,461010.7240927751,0.00015051094241870768
8430,E330000US0940800000,"New York-Newark, NY-NJ-CT-PA CFS Area (part); Connecticut",E330000US1299999999,"Remainder of Florida, Florida",538785,867980,1007.18,1007.18,False,461010.7240927751,0.00015051094241870768
8431,E330000US5199940060,"Richmond, VA CFS Area; Virginia",E330000US2599999999,"Remainder of Massachusetts, Massachusetts",348802,218252,406.42,406.42,False,460879.14400765987,0.0001504679822516525
8432,E330000US2599999999,"Remainder of Massachusetts, Massachusetts",E330000US5199940060,"Richmond, VA CFS Area; Virginia",218252,348802,406.42,406.42,False,460879.14400765987,0.0001504679822516525
8433,E330000US1230000000,"Jacksonville-St. Marys-Palatka, FL-GA CFS Area (part); Florida",E330000US5154500000,"Virginia Beach-Norfolk, VA-NC CFS Area (part); Virginia",560967,276034,579.67,579.67,False,460827.34661767905,0.0001504510706914825
8434,E330000US5154500000,"Virginia Beach-Norfolk, VA-NC CFS Area (part); Virginia",E330000US1230000000,"Jacksonville-St. Marys-Palatka, FL-GA CFS Area (part); Florida",276034,560967,579.67,579.67,False,460827.34661767905,0.0001504510706914825
8435,E330000US4828800000,"Houston-The Woodlands, TX CFS Area; Texas",E330000US4414800000,"Boston-Worcester-Providence, MA-RI-NH-CT CFS Area (part); Rhode Island",4234584,271164,1579.19,1579.19,False,460441.0264909665,0.00015032493931555415
8436,E330000US4414800000,"Boston-Worcester-Providence, MA-RI-NH-CT CFS Area (part); Rhode Island",E330000US4828800000,"Houston-The Woodlands, TX CFS Area; Texas",271164,4234584,1579.19,1579.19,False,460441.0264909665,0.00015032493931555415
