GEO_ID,NAME,VAL,TON,vulnerability_score,risk_tier,predicted_tier
E330000US1242200000,"Orlando-Lakeland-Deltona, FL CFS Area; Florida",914684,452054,0.1167,Low,Low
E330000US3442800000,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CFS Area (part); New Jersey",796192,480712,0.1108,Low,Low
E330000US4740000000,"Nashville-Davidson--Murfreesboro, TN CFS Area; Tennessee",726454,504211,0.1081,Low,Low
E330000US4099999999,"Remainder of Oklahoma, Oklahoma",398232,719744,0.1068,Low,Low
E330000US5537600000,"Milwaukee-Racine-Waukesha, WI CFS Area; Wisconsin",818487,401108,0.1039,Low,Low
E330000US4599999999,"Remainder of South Carolina, South Carolina",696579,463513,0.1014,Low,Low
E330000US5399999999,"Remainder of Washington, Washington",536283,502959,0.0936,Low,Low
E330000US1817600000,"Chicago-Naperville, IL-IN-WI CFS Area (part); Indiana",354346,609632,0.0915,Low,Low
E330000US3726800000,"Greensboro--Winston-Salem--High Point, NC CFS Area; North Carolina",866810,245436,0.0906,Low,Low
E330000US0647200000,"Sacramento-Roseville, CA CFS Area; California",747056,326943,0.0904,Low,Low
E330000US4820400000,"Corpus Christi-Kingsville-Alice, TX CFS Area; Texas",363627,586281,0.0896,Low,Low
E330000US3745000000,"Raleigh-Durham-Cary, NC CFS Area; North Carolina",596094,406947,0.0877,Low,Low
E330000US2454812580,"Baltimore-Columbia-Towson, MD CFS Area; Maryland",760818,291583,0.0876,Low,Low
E330000US0114200000,"Birmingham-Hoover-Talladega, AL CFS Area; Alabama",517674,439882,0.0854,Low,Low
E330000US0699941740,"San Diego-Chula Vista-Carlsbad, CA CFS Area; California",786822,247921,0.0848,Low,Low
E330000US3717200000,"Charlotte-Concord, NC-SC CFS Area (part); North Carolina",729927,286585,0.0847,Low,Low
E330000US4736800000,"Memphis-Forrest City, TN-MS-AR CFS Area (part); Tennessee",862504,193737,0.0847,Low,Low
E330000US1299945300,"Tampa-St. Petersburg-Clearwater, FL CFS Area; Florida",659780,324119,0.0835,Low,Low
E330000US1825800000,"Fort Wayne-Huntington-Auburn, IN CFS Area; Indiana",595891,364797,0.0831,Low,Low
E330000US3917800000,"Cincinnati-Wilmington-Maysville, OH-KY-IN CFS Area (part); Ohio",626665,337279,0.0825,Low,Low
E330000US4699999999,"Remainder of South Dakota, South Dakota",322912,534480,0.081,Low,Low
E330000US2626600000,"Grand Rapids-Kentwood-Muskegon, MI CFS Area; Michigan",731507,240157,0.0798,Low,Low
E330000US1699999999,"Remainder of Idaho, Idaho",461596,417823,0.0788,Low,Low
E330000US2232400000,"Lake Charles-Jennings, LA CFS Area; Louisiana",322904,510399,0.0783,Low,Low
E330000US2299999999,"Remainder of Louisiana, Louisiana",405464,439320,0.0768,Low,Low
E330000US4527300000,"Greenville-Spartanburg-Anderson, SC CFS Area; South Carolina",741623,192786,0.0754,Low,Low
E330000US3610400000,"Albany-Schenectady, NY CFS Area; New York",420541,401414,0.0739,Low,Low
E330000US3999999999,"Remainder of Ohio, Ohio",423439,378084,0.0716,Low,Low
E330000US1230000000,"Jacksonville-St. Marys-Palatka, FL-GA CFS Area (part); Florida",560967,259288,0.069,Low,Low
E330000US0940800000,"New York-Newark, NY-NJ-CT-PA CFS Area (part); Connecticut",538785,274723,0.069,Low,Low
E330000US0899999999,"Remainder of Colorado, Colorado",365608,390101,0.0685,Low,Low
E330000US2135000000,"Louisville/Jefferson County-Elizabethtown-Bardstown, KY-IN CFS Area (part); Kentucky",478383,310836,0.0684,Low,Low
E330000US3099999999,"Remainder of Montana, Montana",243125,468193,0.0677,Low,Low
E330000US4053800000,"Tulsa-Muskogee-Bartlesville, OK CFS Area; Oklahoma",371567,361087,0.0658,Low,Low
E330000US4199999999,"Remainder of Oregon, Oregon",297360,398341,0.0642,Low,Low
E330000US3616000000,"Buffalo-Cheektowaga-Olean, NY CFS Area; New York",413090,309808,0.0634,Low,Low
E330000US2931200000,"Kansas City-Overland Park-Kansas City, MO-KS CFS Area (part); Missouri",453419,273988,0.0625,Low,Low
E330000US1747600000,"St. Louis-St. Charles-Farmington, MO-IL CFS Area (part); Illinois",249455,411426,0.062,Low,Low
E330000US2031200000,"Kansas City-Overland Park-Kansas City, MO-KS CFS Area (part); Kansas",464440,232913,0.0589,Low,Low
E330000US0927825540,"Hartford-East Hartford-Middletown, CT CFS Area; Connecticut",563855,160340,0.0585,Low,Low
E330000US3646400000,"Rochester-Batavia-Seneca Falls, NY CFS Area; New York",356513,264662,0.0542,Low,Low
E330000US2399999999,"Remainder of Maine, Maine",327467,283563,0.0541,Low,Low
E330000US4731500000,"Knoxville-Morristown-Sevierville, TN CFS Area; Tennessee",346041,237394,0.0504,Low,Low
E330000US3953400000,"Toledo-Findlay-Tiffin, OH CFS Area; Ohio",278516,267060,0.0486,Low,Low
E330000US3142000000,"Omaha-Council Bluffs-Fremont, NE-IA CFS Area (part); Nebraska",265722,267379,0.0476,Low,Low
E330000US5199940060,"Richmond, VA CFS Area; Virginia",348802,206518,0.0473,Low,Low
E330000US3921200000,"Dayton-Springfield-Kettering, OH CFS Area; Ohio",385784,165447,0.0456,Low,Low
E330000US4999999999,"Remainder of Utah, Utah",202925,291124,0.0455,Low,Low
E330000US5154847900,"Washington-Arlington-Alexandria, DC-VA-MD-WV CFS Area (part); Virginia",260880,249349,0.0453,Low,Low
E330000US4041600000,"Oklahoma City-Shawnee, OK CFS Area; Oklahoma",349816,137630,0.0399,Low,Low
E330000US2055600000,"Wichita-Winfield, KS CFS Area; Kansas",227296,213656,0.0389,Low,Low
E330000US3599999999,"Remainder of New Mexico, New Mexico",228119,204075,0.0379,Low,Low
E330000US2499999999,"Remainder of Maryland, Maryland",220085,206628,0.0376,Low,Low
E330000US3314800000,"Boston-Worcester-Providence, MA-RI-NH-CT CFS Area (part); New Hampshire",313807,140170,0.0374,Low,Low
E330000US2117800000,"Cincinnati-Wilmington-Maysville, OH-KY-IN CFS Area (part); Kentucky",190029,215501,0.0363,Low,Low
E330000US2454847900,"Washington-Arlington-Alexandria, DC-VA-MD-WV CFS Area (part); Maryland",227976,178606,0.0351,Low,Low
E330000US0626000000,"Fresno-Madera-Hanford, CA CFS Area; California",289171,131553,0.0347,Low,Low
E330000US5154500000,"Virginia Beach-Norfolk, VA-NC CFS Area (part); Virginia",276034,138577,0.0344,Low,Low
E330000US1042800000,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CFS Area (part); Delaware",281776,127036,0.0336,Low,Low
E330000US4414800000,"Boston-Worcester-Providence, MA-RI-NH-CT CFS Area (part); Rhode Island",271164,110063,0.031,Low,Low
E330000US3233200000,"Las Vegas-Henderson, NV CFS Area; Nevada",236260,124320,0.0299,Low,Low
E330000US4599916700,"Charleston-North Charleston, SC CFS Area; South Carolina",208621,139391,0.0294,Low,Low
E330000US4299910900,"Allentown-Bethlehem-Easton, PA-NJ CFS Area (part); Pennsylvania",272201,87442,0.0286,Low,Low
E330000US3299999999,"Remainder of Nevada, Nevada",257954,83912,0.0271,Low,Low
E330000US2599999999,"Remainder of Massachusetts, Massachusetts",218252,109764,0.0269,Low,Low
E330000US0138000000,"Mobile-Daphne-Fairhope, AL CFS Area; Alabama",185225,128657,0.0265,Low,Low
E330000US1349600000,"Savannah-Hinesville-Statesboro, GA CFS Area; Georgia",165870,139256,0.0262,Low,Low
E330000US0453600000,"Tucson-Nogales, AZ CFS Area; Arizona",138504,154822,0.0258,Low,Low
E330000US4823800000,"El Paso-Las Cruces, TX-NM CFS Area (part); Texas",199837,109256,0.0255,Low,Low
E330000US5099999999,"Remainder of Vermont, Vermont",162074,125139,0.0244,Low,Low
E330000US0499999999,"Remainder of Arizona, Arizona",109087,156109,0.0237,Low,Low
E330000US1921800000,"Des Moines-Ames-West Des Moines, IA CFS Area; Iowa",155828,123723,0.0237,Low,Low
E330000US5344000000,"Portland-Vancouver-Salem, OR-WA CFS Area (part); Washington",169158,87452,0.0208,Low,Low
E330000US1599946520,"Urban Honolulu, HI CFS Area; Hawaii",140904,103014,0.0204,Low,Low
E330000US0299999999,"Remainder of Alaska, Alaska",135932,103308,0.02,Low,Low
E330000US4899929700,"Laredo, TX CFS Area; Texas",47600,73075,0.0101,Low,Low
E330000US0999999999,"Remainder of Connecticut, Connecticut",65480,42191,0.0081,Low,Low
E330000US1599999999,"Remainder of Hawaii, Hawaii",36554,59701,0.0078,Low,Low
E330000US3399999999,"Remainder of New Hampshire, New Hampshire",52006,46632,0.0075,Low,Low
E330000US1099999999,"Remainder of Delaware, Delaware",52245,40191,0.0069,Low,Low
E330000US1154847900,"Washington-Arlington-Alexandria, DC-VA-MD-WV CFS Area (part); District of Columbia",12477,4686,0.0,Low,Low
